Time (s)	Throttle (u)	Thrust (N)
9.037	100	0.077885
9.049	100	0.070242
9.061	100	0.067582
9.073	100	0.071538
9.084	100	0.074242
9.096	100	0.070800
9.108	100	0.074823
9.120	100	0.069527
9.131	100	0.073594
9.144	100	0.069795
9.155	100	0.067158
9.167	100	0.071739
9.178	100	0.079047
9.191	100	0.076656
9.202	100	0.072320
9.214	100	0.070577
9.225	100	0.071583
9.238	100	0.074197
9.249	100	0.071091
9.261	100	0.067001
9.273	100	0.071739
9.285	100	0.079047
9.296	100	0.079114
9.307	100	0.073750
9.320	100	0.070130
9.331	100	0.068744
9.343	100	0.067984
9.355	100	0.073438
9.367	100	0.074890
9.378	100	0.075114
9.390	100	0.069169
